year,month,site,lat,lon,type,W1_ERROR,W2_ERROR,W3_ERROR,W4_ERROR
2013,5,AU-Cpr,-34.0021,140.5891,SAV,1.29E-14,0.300281028,0.296839503,0.020234363
2013,7,AU-Cpr,-34.0021,140.5891,SAV,0,NA,0.221941613,0
2013,10,AU-Cpr,-34.0021,140.5891,SAV,1.701259977,0.904761905,0.46156619,0.214596725
2013,8,AU-Cpr,-34.0021,140.5891,SAV,1.338914722,0.320553781,0.30739693,0.028746806
2013,9,AU-Cpr,-34.0021,140.5891,SAV,2.37E-14,0.713748687,0.433082237,0.097127799
2013,6,AU-Cpr,-34.0021,140.5891,SAV,0.897184799,NA,0.169473966,0.014618382
2013,3,AU-Cpr,-34.0021,140.5891,SAV,0,1.541191901,0.521974369,0.144821632
2013,1,AU-Cpr,-34.0021,140.5891,SAV,1.791797761,5.549757025,0.61037316,0.110436977
2013,2,AU-Cpr,-34.0021,140.5891,SAV,1.770989654,2.675598767,0.566676527,0.18660858
2014,8,AU-Cpr,-34.0021,140.5891,SAV,0,0.292743953,0.291042363,0.024114811
2014,10,AU-Cpr,-34.0021,140.5891,SAV,1.773324092,1.299362112,0.509646866,0.478984121
2014,12,AU-Cpr,-34.0021,140.5891,SAV,1.733836166,1.562407009,0.523296407,0.059506682
2014,11,AU-Cpr,-34.0021,140.5891,SAV,0,1.860570269,0.545073081,0.471652194
2014,9,AU-Cpr,-34.0021,140.5891,SAV,1.653891392,0.468498342,0.366040068,0
2014,5,AU-Cpr,-34.0021,140.5891,SAV,1.238923981,0.343561739,0.318638397,0.520537798
2014,6,AU-Cpr,-34.0021,140.5891,SAV,1.13E-14,NA,0.192648928,0.46993644
2014,7,AU-Cpr,-34.0021,140.5891,SAV,1.69E-14,NA,0.232070192,0.461206313
2007,1,AU-DaP,-14.0633,131.3181,GRA,0,0.162280702,0.303826573,0.357547444
2007,2,AU-DaP,-14.0633,131.3181,GRA,1.31E-14,0.324635725,0.430828465,0.088938089
2007,3,AU-DaP,-14.0633,131.3181,GRA,1.31E-14,NA,0.208757626,0
2007,4,AU-DaP,-14.0633,131.3181,GRA,0,0.464250193,0.49913919,0.390732665
2007,5,AU-DaP,-14.0633,131.3181,GRA,0,0.475583273,0.498267062,0.315603419
2007,6,AU-DaP,-14.0633,131.3181,GRA,0,0.315985499,0.425857152,0.375530607
2007,7,AU-DaP,-14.0633,131.3181,GRA,1.31E-14,0.393343499,0.465502361,0.459254434
2007,8,AU-DaP,-14.0633,131.3181,GRA,0,0.487385289,0.507460846,0.105832765
2007,9,AU-DaP,-14.0633,131.3181,GRA,1.629991447,0.750503683,0.56835591,0.560149117
2007,10,AU-DaP,-14.0633,131.3181,GRA,1.172267527,0.558823529,0.52457206,0.592398452
2007,11,AU-DaP,-14.0633,131.3181,GRA,0.964872208,0.418363797,0.476335135,0.424708638
2007,12,AU-DaP,-14.0633,131.3181,GRA,1.74E-14,0.245242235,0.378567247,0.224067427
2008,1,AU-DaP,-14.0633,131.3181,GRA,0.350091414,0.194958627,0.337898434,0.116839629
2008,2,AU-DaP,-14.0633,131.3181,GRA,0.319250077,NA,0.230918847,0.055782248
2008,12,AU-DaP,-14.0633,131.3181,GRA,0,0.227846635,0.36475438,0.004338571
