site,type,lat,lon,N,R2,rMAE,CV_GPP,CV_W,CV_T,CV_TW,Residuals,rT_unique,rW_unique,rTW_shared,rTW_total,MAT,MAP
US-Syv,MF,46.242,-89.3477,105,0.80091536,0.536053664,0.964890849,0.190853454,0.726210259,0.776411907,0.2544,0.0388,0.0189,0.385461373,0.443133047,4.840625606,875.1122721
US-Ton,WSA,38.4316,-120.96598,165,0.662894229,0.751234938,0.72304104,0.208252407,0.227551127,0.21627647,0.2226,0.0212,0.1158,0.105479804,0.242346282,16.21562212,774.5314044
US-Twt,CRO,38.1087204,-121.6531,58,0.747816296,0.829827265,1.122063634,0.100188072,0.25987694,0.32156644,0.2719,-0.0045,0.2168,0.428649911,0.640846038,15.83842695,489.8887331
US-UMd,DBF,45.5625,-84.6975,74,0.814067044,0.469126325,0.809153998,0.202242448,0.491211421,0.566010872,0.1934,0.0379,0.0549,0.262583685,0.355442599,6.70729532,890.5857707
US-Var,GRA,38.4133,-120.9507,106,0.362598019,0.659564692,0.887612083,0.119483426,0.266345579,0.264866261,0.193,-0.0023,-8.00E-04,0.26133829,0.258240397,16.21562212,774.5314044
US-WCr,DBF,45.8059,-90.0799,81,0.836224146,0.56604871,0.959335211,0.260587838,0.431059151,0.561896971,0.2695,0.0019,0.0767,0.420670773,0.499383984,5.337472005,873.6706374
US-Whs,OSH,31.7438,-110.0522,58,0.797331189,2.145028958,1.229230112,0.156102109,0.312875094,0.307919191,0.2157,0.0123,-0.0038,0.207318628,0.21598878,16.38153294,227.4044822
US-Wi4,ENF,46.739333,-91.16625,48,0.83224046,0.550919222,0.493666488,0.149024176,0.833524998,0.861445097,0.1768,0.0035,0.0693,0.29579689,0.368683188,5.327191473,867.8259971
US-Wkg,GRA,31.7365,-109.9419,110,0.771288446,2.040093274,1.262006119,0.129902555,0.249157014,0.237105048,0.268,0.0047,0.0025,0.206284153,0.21352459,16.37726448,230.2933624
ZA-Kru,SAV,-25.0197,31.4969,138,0.483058485,0.637060006,0.853690541,0.102086883,0.069446154,0.132792812,0.5115,0.0066,0.165,0.380552712,0.55209826,22.0714243,572.0411656
ZM-Mon,DBF,-15.4391,23.2525,35,0.165864152,0.94619168,0.872028376,0.199263423,0.027173088,0.210113131,0.77,0.129,0.6659,0.393043478,1.187826087,22.98611164,1078.7013
